Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,PGN,WhiteTitle,FEN,SetUp
Rated Classical game,https://lichess.org/leGlIIPr,2018.11.16,-,gsrdz18,HushPuppies,0-1,2018.11.16,06:03:11,1520,1554,-10,+35,Standard,900+15,D00,Normal,1. d4 d5 2. e3 Nf6 3. Bd3 e6 4. h3 Bb4+ 5. c3 Ba5 6. Qa4+ Nc6 7. Bb5 Bd7 8. Bxc6 Bxc6 9. Qxa5 O-O 10. b4 b6 11. Qa6 Ne4 12. Nf3 Qf6 13. O-O g5 14. Ba3 h5 15. b5 g4 16. hxg4 hxg4 17. Nh2 Kg7 18. Bxf8+ Rxf8 19. bxc6 Rh8 20. f3 Qh4 21. fxe4 g3 22. Rxf7+ Kg6 23. Rxc7 Qxh2+ 24. Kf1 Qh1+ 25. Ke2 Qxg2+ 26. Kd3 Qf1+ 27. Kc2 Rh2+ 28. Nd2 Qxa6 29. Re7 Qe2 30. Rxe6+ Kf7 31. Rd1 Kxe6 32. c7 Kd7 0-1,,,
Rated Rapid game,https://lichess.org/UDEdZPBd,2018.11.16,-,husu2010,HushPuppies,0-1,2018.11.16,05:30:57,1068,1171,-7,+7,Standard,600+0,B30,Normal,1. e4 c5 2. Nf3 Nc6 3. Bc4 g6 4. Ng5 Nh6 5. Qf3 Ne5 6. Qe2 f6 7. Nf3 b6 8. Nxe5 fxe5 9. d3 d6 10. Bxh6 Bxh6 11. Qf3 Rf8 12. Bb5+ Bd7 13. Bxd7+ Qxd7 14. Qg3 Bf4 15. Qh4 d5 16. exd5 Qxd5 17. Qxh7 Qxg2 18. Rf1 Qxh2 19. Qxg6+ Kd8 20. Qc6 Rf6 21. Qxa8+ Kd7 22. Qxa7+ Ke6 23. Qxb6+ Kd5 24. Nc3+ Kd4 25. Qd8+ Rd6 26. Nb5+ Kd5 27. Nxd6 Ke6 28. Qg8+ Kxd6 29. Qg6+ Kd7 30. a4 Qh8 31. Qg4+ e6 32. a5 Qb8 33. Qg7+ Kd6 34. a6 Qb4+ 35. c3 Qxb2 36. Qf8+ Kd5 37. c4+ Kd4 38. Qd8+ Kc3 39. Qa5+ Kxd3 40. Rd1+ Ke4 41. f3+ Ke3 42. Rf2 Qxf2# 0-1,,,
Rated Rapid game,https://lichess.org/hZk2deAp,2018.11.16,-,catar2,HushPuppies,1-0,2018.11.16,05:04:25,1128,1183,+12,-12,Standard,600+0,B30,Normal,1. e4 c5 2. Nf3 Nc6 3. c4 Nf6 4. d3 g6 5. a3 Bg7 6. Ra2 O-O 7. Be2 d6 8. O-O Bg4 9. h3 Bxf3 10. Bxf3 Nd4 11. Nc3 a6 12. a4 Qd7 13. Bg4 Nxg4 14. Qxg4 Qxg4 15. hxg4 d5 16. Be3 Nf3+ 17. gxf3 d4 18. Bxd4 cxd4 19. Nd5 g5 20. Nxe7+ Kh8 21. Nf5 Be5 22. b4 h6 23. Nxh6 Kh7 24. Nf5 Kg6 25. a5 Kf6 26. Kg2 Ke6 27. Ng7+ Kd7 28. Nf5 Bd6 29. Nxd6 Kxd6 30. Re1 Rfe8 31. c5+ Kc6 32. Rc1 Kb5 33. Rac2 Rac8 34. Rc4 f6 35. Rxd4 Red8 36. Rxd8 Rxd8 37. Rh1 Rxd3 38. Rh7 Kxb4 39. Rxb7+ Kxc5 40. Ra7 Kb5 41. Rf7 Rd6 42. Kg3 Re6 43. Rc7 Kxa5 44. Rc1 Kb5 45. Rb1+ Ka5 46. Ra1+ Kb5 47. Kg2 a5 48. Kf1 Kb4 49. Ke1 a4 50. Kd1 Kb3 51. Kc1 Rb6 52. Rb1+ Ka3 53. Rxb6 f5 54. exf5 1-0,,,
Rated Rapid game,https://lichess.org/p2TYP5mo,2018.11.15,-,HushPuppies,pisklavypes,0-1,2018.11.15,09:01:18,1193,1232,-10,+12,Standard,600+0,D00,Normal,1. d4 d5 2. Bf4 Nc6 3. Nf3 e6 4. Nbd2 Nf6 5. h3 Bd6 6. e3 O-O 7. a3 Ne4 8. Bd3 f5 9. Ne5 Nxe5 10. Bxe5 Bd7 11. O-O Qg5 12. Nf3 Qg6 13. Nh4 Qg5 14. Bh2 Bxh2+ 15. Kxh2 Qxh4 16. g3 Qe7 17. f3 Nd6 18. g4 fxg4 19. fxg4 e5 20. dxe5 Qxe5+ 21. Kh1 Qxe3 22. g5 Qxh3+ 23. Kg1 Bg4 24. Bxh7+ Kxh7 25. Rxf8 Rxf8 26. Qe1 Re8 27. Qf2 Ne4 28. Qf7 Qg3+ 29. Kf1 Bh3+ 30. Ke2 Nxg5+ 31. Kd2 Nxf7 32. Rh1 Qg2+ 33. Kc3 Qxh1 0-1,,,
Rated Rapid game,https://lichess.org/DXXLRa75,2018.11.15,-,HushPuppies,miliuccim,1-0,2018.11.15,03:55:58,1184,1125,+9,-9,Standard,600+0,D02,Normal,1. d4 d5 2. Bf4 Nf6 3. Nf3 Bg4 4. Nbd2 Bxf3 5. Nxf3 e6 6. e3 Bd6 7. Bb5+ Nc6 8. Bg5 a6 9. Ba4 b5 10. Bb3 h6 11. Bxf6 Qxf6 12. a3 O-O 13. O-O Na5 14. e4 Nxb3 15. e5 Bxe5 16. dxe5 Qf4 17. cxb3 f6 18. exf6 Rxf6 19. Qc2 Raf8 20. Nd2 Rf5 21. Rae1 Rh5 22. Nf3 Qg4 23. Qd3 Qf4 24. Rxe6 g5 25. Qxd5 g4 26. Rf6+ Kg7 27. Rxf4 Rxf4 28. Qd7+ Kg6 29. Qe8+ Rf7 30. Ne5+ Kf6 31. Nxf7 Kg7 32. Ne5 Rh4 33. Qf7+ Kh8 34. Ng6# 1-0,,,
Rated Rapid game,https://lichess.org/J5ecfoVQ,2018.11.15,-,Ayarceb,HushPuppies,0-1,2018.11.15,03:39:14,1129,1174,-9,+10,Standard,600+0,B20,Normal,1. e4 c5 2. d3 Nc6 3. Be3 e5 4. Nf3 h6 5. c3 Nf6 6. d4 cxd4 7. cxd4 Nxd4 8. Bxd4 exd4 9. Nxd4 Bc5 10. Nb3 b6 11. f3 d6 12. Nxc5 bxc5 13. Nc3 Bd7 14. a4 O-O 15. Bc4 Qa5 16. Qxd6 Bxa4 17. Rxa4 Qd8 18. Qxc5 Rc8 19. Qxa7 Qd6 20. O-O Rc5 21. Rd1 Qe5 22. Bxf7+ Rxf7 23. Rd8+ Rf8 24. Rxf8+ Kxf8 25. Qa8+ Ne8 26. Nd5 Qxb2 27. Rb4 Rc1# 0-1,,,
Rated Rapid game,https://lichess.org/cZMdNuBz,2018.11.15,-,HushPuppies,Z-Austria,1-0,2018.11.15,03:15:36,1161,1239,+13,-13,Standard,600+0,A40,Normal,1. d4 e6 2. Bf4 d5 3. e3 Be7 4. Nf3 h6 5. Bd3 Nf6 6. Nc3 Nc6 7. O-O O-O 8. a3 Nh5 9. Be5 Nxe5 10. dxe5 f5 11. Nd4 Bc5 12. Qxh5 Bxd4 13. exd4 b6 14. Rfe1 Bd7 15. Re3 Be8 16. Qh3 Qg5 17. Rg3 Qd2 18. Re3 a6 19. Rd1 Qxd1+ 20. Nxd1 Bb5 21. Bxb5 axb5 22. g4 Ra4 23. c3 c5 24. gxf5 cxd4 25. cxd4 Rxf5 26. Rf3 Rg5+ 27. Rg3 Rf5 28. Ne3 Rf8 29. Qxe6+ Kh7 30. Nf5 Rxf5 31. Qxf5+ Kg8 32. e6 Rxd4 33. Kg2 Rc4 34. e7 Rc8 35. Qxc8+ Kf7 36. e8=Q+ Kf6 37. Qee6# 1-0,,,
Rated Rapid game,https://lichess.org/bBGKiSXU,2018.11.15,-,aleksanderfm,HushPuppies,0-1,2018.11.15,03:13:10,1153,1150,-12,+11,Standard,600+0,B21,Normal,1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qc3 Nf6 5. Bd3 e5 6. f4 Bb4 0-1,,,
Rated Blitz game,https://lichess.org/VtkV77yY,2018.11.15,-,ReinaldoR,HushPuppies,1-0,2018.11.15,02:53:04,2406,1203,+0,+0,Standard,300+3,D00,Normal,1. d4 d5 2. Bf4 c5 3. e3 cxd4 4. exd4 Nc6 5. c3 Nf6 6. Nd2 Bg4 7. Qb3 Qd7 8. Ngf3 g6 9. Ne5 Nxe5 10. dxe5 Nh5 11. Bb5 Nxf4 12. Bxd7+ Bxd7 13. Qxb7 Rd8 14. O-O Bh6 15. Nf3 f6 16. exf6 e6 17. f7+ Kxf7 18. Ne5+ Ke8 19. Rfe1 Ke7 20. Nc6+ Kd6 21. Nxd8 Rxd8 22. Qxa7 Bc6 23. Qxh7 Bf8 24. Qh4 Nd3 25. Qxd8+ Bd7 26. Qxf8+ 1-0,CM,,
Rated Rapid game,https://lichess.org/xTe7yAg0,2018.11.14,-,darthveder,HushPuppies,0-1,2018.11.14,19:41:49,1500,1137,-440,+13,Standard,600+0,D00,Normal,1. d4 d5 2. c3 Nf6 3. Bf4 e6 4. e3 Bd6 5. Bd3 Bxf4 6. exf4 Nc6 7. Nf3 h6 8. Nbd2 Ng4 9. Qe2 Qd6 10. h3 Nf6 11. Ne5 O-O 12. Ndf3 Nh5 13. g3 Ne7 14. Qc2 Nf6 15. h4 c5 16. dxc5 Qxc5 17. f5 exf5 18. Nd4 f4 19. g4 Nxg4 20. Nxg4 Bxg4 21. f3 Bh5 22. Rg1 g6 23. b4 Qc7 24. Nb5 Qe5+ 25. Be2 Bxf3 26. Kf2 Qe3+ 27. Kf1 Rfe8 28. Nd4 Bxe2+ 29. Qxe2 Qxc3 30. Qd1 Qc4+ 31. Ne2 Qxb4 32. Rb1 Qd6 33. Rxb7 Qa6 34. Rb3 Nf5 35. Qd3 Qxd3 36. Rxd3 Rab8 37. Rxd5 Rb1+ 38. Kg2 Ne3+ 39. Kh2 Nxd5 40. Rxb1 Rxe2+ 41. Kg1 Kg7 42. Kf1 Re3 43. Rb7 Kf6 44. Rxa7 Nc3 45. Kf2 Nd1+ 46. Kg2 f3+ 47. Kg3 f2+ 48. Kg2 Kf5 49. Rxf7+ Kg4 50. a4 Rg3+ 51. Kh2 Rf3 52. Rxf3 Kxf3 53. Kh1 Ke2 54. a5 f1=Q+ 55. Kh2 Qf2+ 56. Kh3 Kf1 57. a6 Qg2# 0-1,,,
